DAY,TXNS,VOLUME,TRADERS,TOKENS_TRADED
2025-06-15,16598,10672.915473463541,5282,936
2025-06-16,22177,15557.062830481207,6253,834
2025-06-17,24539,23558.18795863472,7162,1265
2025-06-18,27011,26651.8870095828,8061,1363
2025-06-19,28025,29785.24153378178,9288,850
2025-06-20,29766,29730.336384614857,9456,891
2025-06-21,31716,32292.13933938992,10005,859
2025-06-22,30460,32869.33570990482,9522,778
2025-06-23,31314,29525.367162077397,10098,877
2025-06-24,39177,40046.74836704524,12577,905
2025-06-25,41514,42225.521654591175,13249,1185
2025-06-26,35684,211170.5102279745,12027,746
2025-06-27,32022,31198.223859961498,10571,935
2025-06-28,32332,35542.81204343371,10905,993
2025-06-29,35754,44947.9204563886,11676,1334
2025-06-30,36290,42573.80982951242,12334,958
2025-07-01,39858,39270.8321403508,13676,963
2025-07-02,43394,46035.32442261532,15025,855
2025-07-03,41232,44864.83006608276,13744,885
2025-07-04,38875,42143.919335537605,13230,793
2025-07-05,38332,40443.106107866646,12959,862
2025-07-06,41613,41181.99917294405,14154,1121
2025-07-07,54699,52200.31231945878,16936,2512
2025-07-08,82327,60235.94649502539,24835,6184
2025-07-09,69763,47304.598398240836,21255,4900
2025-07-10,75077,367262.20150005195,22161,5953
2025-07-11,64611,459572.59257652494,18886,4795
2025-07-12,66086,669612.3931212008,19129,3504
2025-07-13,38793,131434.7692063421,11298,2176
